,embedding,architecture,mean,std,size,best_epoch
0,elmo,BIDGRU,0.9887,0.0034,10,96.0
1,elmo,BIDGRU,0.0381,0.0085,10,96.0
2,elmo,CNN,0.9956,0.0015,10,75.0
3,elmo,CNN,0.0223,0.0067,10,75.0
4,elmo,CNNPAR,0.999,0.0006,10,68.0
5,elmo,CNNPAR,0.0029,0.0032,10,68.0
6,elmo,CNNPARLSTM,0.9981,0.0009,10,57.0
7,elmo,CNNPARLSTM,0.0086,0.0029,10,57.0
8,elmo,DNN,0.9732,0.0063,10,16.0
9,elmo,DNN,0.0827,0.0244,10,16.0
10,elmo,RNNCNN,0.9995,0.0003,10,59.0
11,elmo,RNNCNN,0.0019,0.0014,10,59.0
12,w2v,BIDGRU,0.9557,0.0081,10,63.0
13,w2v,BIDGRU,0.1158,0.0202,10,63.0
14,w2v,CNN,0.9318,0.0369,10,97.0
15,w2v,CNN,0.2028,0.0691,10,97.0
16,w2v,CNNPAR,0.9983,0.0015,10,86.0
17,w2v,CNNPAR,0.0035,0.0044,10,86.0
18,w2v,CNNPARLSTM,0.9769,0.005,10,54.0
19,w2v,CNNPARLSTM,0.0759,0.0144,10,54.0
20,w2v,DNN,0.9924,0.003,10,28.0
21,w2v,DNN,0.0234,0.0054,10,28.0
22,w2v,RNNCNN,0.996,0.0016,10,27.0
23,w2v,RNNCNN,0.0168,0.0034,10,27.0
24,elmo,BIDGRU,0.9501,0.0094,10,96.0
25,elmo,BIDGRU,0.1854,0.061,10,96.0
26,elmo,CNN,0.9539,0.0184,10,75.0
27,elmo,CNN,0.2202,0.1411,10,75.0
28,elmo,CNNPAR,0.9626,0.0129,10,68.0
29,elmo,CNNPAR,0.2635,0.1192,10,68.0
30,elmo,CNNPARLSTM,0.9601,0.0167,10,57.0
31,elmo,CNNPARLSTM,0.2558,0.1132,10,57.0
32,elmo,DNN,0.9507,0.0133,10,16.0
33,elmo,DNN,0.2831,0.2394,10,16.0
34,elmo,RNNCNN,0.9576,0.0158,10,59.0
35,elmo,RNNCNN,0.2946,0.2346,10,59.0
36,w2v,BIDGRU,0.9258,0.0242,10,63.0
37,w2v,BIDGRU,0.2344,0.073,10,63.0
38,w2v,CNN,0.8816,0.0319,10,97.0
39,w2v,CNN,0.2934,0.0568,10,97.0
40,w2v,CNNPAR,0.9258,0.0159,10,86.0
41,w2v,CNNPAR,0.3602,0.0913,10,86.0
42,w2v,CNNPARLSTM,0.9196,0.0145,10,54.0
43,w2v,CNNPARLSTM,0.2931,0.0567,10,54.0
44,w2v,DNN,0.9033,0.0197,10,28.0
45,w2v,DNN,0.3791,0.1028,10,28.0
46,w2v,RNNCNN,0.9139,0.0167,10,27.0
47,w2v,RNNCNN,0.379,0.1347,10,27.0
