metric,value,step,embedding,architecture,fold,run_type
epoch_loss,0.5579805970191956,0.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4516422152519226,1.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.346042275428772,2.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.3103911876678467,3.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.25089505314826965,4.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.2038654386997223,5.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.1936701536178589,6.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.2142399102449417,7.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.23118987679481506,8.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.199730783700943,9.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.16722507774829865,10.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.16258326172828674,11.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.1782996952533722,12.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.20401737093925476,13.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.21969883143901825,14.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.2245446741580963,15.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.22980114817619324,16.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.23725318908691406,17.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.24899622797966003,18.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.2657715678215027,19.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.28873613476753235,20.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.32432886958122253,21.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.3842434287071228,22.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4306676983833313,23.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4162442088127136,24.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.38553696870803833,25.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.377574622631073,26.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.39327922463417053,27.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.429348886013031,28.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.44333988428115845,29.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.43494516611099243,30.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.42089033126831055,31.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.41845807433128357,32.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.41669291257858276,33.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.39777320623397827,34.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.3917035460472107,35.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.40243783593177795,36.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.42446714639663696,37.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4328032433986664,38.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.43007975816726685,39.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.43586549162864685,40.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.46510791778564453,41.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.46211138367652893,42.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4179377555847168,43.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.3995535969734192,44.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4063950181007385,45.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4448680877685547,46.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4725480079650879,47.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4732275903224945,48.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.45317983627319336,49.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4263448119163513,50.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.42221784591674805,51.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.43481534719467163,52.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.43787938356399536,53.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4125003218650818,54.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.39943939447402954,55.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.3878210783004761,56.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.37236055731773376,57.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.3717803359031677,58.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.38116055727005005,59.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.39714136719703674,60.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.41868242621421814,61.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4496622085571289,62.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.45706433057785034,63.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.44250836968421936,64.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4142211079597473,65.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.40538138151168823,66.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4131435453891754,67.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.4231320917606354,68.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.44610220193862915,69.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.44831496477127075,70.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.43009597063064575,71.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.40669065713882446,72.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.38059180974960327,73.0,elmo,RNNCNN,fold3,validation
epoch_loss,0.3680764138698578,74.0,elmo,RNNCNN,fold3,validation
epoch_acc,0.8125,0.0,elmo,RNNCNN,fold3,validation
epoch_acc,0.831250011920929,1.0,elmo,RNNCNN,fold3,validation
epoch_acc,0.8374999761581421,2.0,elmo,RNNCNN,fold3,validation
