{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 3, 'dropout1': 0.4, 'dropout2': 0.2, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 120, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.10938363750796674, 0.95679015], [0.004097752791784843, 0.9993065]), 'p_i': 0}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 2, 'dropout1': 0.1, 'dropout2': 0, 'pool_size': 7, 'conv_filters2': 300, 'dense_units': 60, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.13026794202390046, 0.9444444], [0.0026621767242236295, 0.9993065]), 'p_i': 1}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 3, 'dropout1': 0, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 150, 'dense_units': 60, 'lr': 0.01}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.6931471824645996, 0.5], [0.6931471824645996, 0.5]), 'p_i': 2}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 2, 'dropout1': 0, 'dropout2': 0.2, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 30, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.20624889709331362, 0.9506173], [0.0009831212544371953, 0.9993065]), 'p_i': 3}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 3, 'dropout1': 0, 'dropout2': 0.2, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 120, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.14445556571444354, 0.95679015], [0.0016661771221256566, 0.9993065]), 'p_i': 4}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 3, 'dropout1': 0.4, 'dropout2': 0.5, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 120, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.11552231767323795, 0.95679015], [0.004740678407737841, 0.9993065]), 'p_i': 5}
{'in_kwargs': {'conv_filters1': 25, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 1, 'dropout1': 0, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 50, 'dense_units': 30, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.13386300372148083, 0.9382716], [0.014646607204666555, 0.99861306]), 'p_i': 6}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [6, 8, 10], 'maps_per_kernel': 1, 'dropout1': 0.4, 'dropout2': 0.5, 'pool_size': 7, 'conv_filters2': 150, 'dense_units': 60, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.11910230801835114, 0.95679015], [0.006544957290553383, 0.9993065]), 'p_i': 7}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [2, 3, 4], 'maps_per_kernel': 3, 'dropout1': 0.4, 'dropout2': 0, 'pool_size': 3, 'conv_filters2': 150, 'dense_units': 120, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.11216355473192784, 0.9444444], [0.004568862636578779, 0.9993065]), 'p_i': 8}
{'in_kwargs': {'conv_filters1': 75, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 2, 'dropout1': 0.4, 'dropout2': 0.2, 'pool_size': 3, 'conv_filters2': 300, 'dense_units': 30, 'lr': 0.0001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.11142824495901651, 0.962963], [0.003938995837823303, 0.9993065]), 'p_i': 9}
{'in_kwargs': {'conv_filters1': 50, 'kernel_sizes': [3, 4, 5], 'maps_per_kernel': 2, 'dropout1': 0.1, 'dropout2': 0.2, 'pool_size': 7, 'conv_filters2': 50, 'dense_units': 30, 'lr': 0.001}, 'epochs': 100, 'batch_size': 1024, 'result': ([0.15270179418134092, 0.962963], [0.0009890618972526247, 0.9993065]), 'p_i': 10}
