{'in_kwargs': {'lr': 1e-05, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 1024, 'result': ([0.293202913193791, 0.8703704], [0.23892873476017862, 0.9223301]), 'p_i': 0}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.19544138345544043, 0.95679015], [0.0029118126911172855, 0.9993065]), 'p_i': 1}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 256, 'result': ([0.1917017139961447, 0.962963], [0.0012430044617214862, 0.9993065]), 'p_i': 2}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 256, 'result': ([0.16085995310624368, 0.95679015], [0.0039025807397420056, 0.9993065]), 'p_i': 3}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 160, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 256, 'result': ([0.17510939977736817, 0.9506173], [0.0035210387602360627, 0.9993065]), 'p_i': 4}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 256, 'result': ([0.24886804766463239, 0.962963], [0.0010052323660834374, 0.9993065]), 'p_i': 5}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.14167268099238778, 0.9382716], [0.019169938932696095, 0.9965326]), 'p_i': 6}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 1024, 'result': ([0.16032203811237378, 0.9382716], [0.003198622105984326, 0.9993065]), 'p_i': 7}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 160, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 256, 'result': ([0.2317473277863529, 0.8888889], [0.14773264128440958, 0.96463245]), 'p_i': 8}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 1024, 'result': ([0.20290177067141651, 0.95679015], [0.0023726770791585037, 0.9993065]), 'p_i': 9}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 256, 'result': ([0.22226399809119712, 0.9506173], [0.004192087552432699, 0.9993065]), 'p_i': 10}
{'in_kwargs': {'lr': 1e-05, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 160, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.1572484929800137, 0.9382716], [0.03991502068740485, 0.9965326]), 'p_i': 11}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 1024, 'result': ([0.13083738229987144, 0.95679015], [0.006756538841692568, 0.99722606]), 'p_i': 12}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.17280635881820053, 0.9506173], [0.001909654985931522, 0.9993065]), 'p_i': 13}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 320, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 1024, 'result': ([0.13437215687151316, 0.9506173], [0.014776122983643235, 0.9965326]), 'p_i': 14}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 640, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 1024, 'result': ([0.1520689036019372, 0.95679015], [0.007291596076648046, 0.9993065]), 'p_i': 15}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'lstm_units': 160, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 1024, 'result': ([0.13292903644810744, 0.9506173], [0.007168509173478244, 0.99722606]), 'p_i': 16}
