{'in_kwargs': {'lr': 0.001, 'conv_filters': 640, 'kernel_size': 13, 'pool_size': 6, 'dropout1': 0.5, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 1024, 'result': ([0.20655834417535224, 0.95679015], [0.001418066592565832, 0.9993065]), 'p_i': -2}
{'in_kwargs': {'lr': 0.01, 'conv_filters': 320, 'kernel_size': 52, 'pool_size': 26, 'dropout1': 0.0, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 1024, 'result': ([0.5157449779667163, 0.90123457], [0.003644206499527062, 0.9993065]), 'p_i': -1}
{'in_kwargs': {'lr': 0.001, 'conv_filters': 640, 'kernel_size': 13, 'pool_size': 6, 'dropout1': 0.5, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 1024, 'result': ([0.22388243703489139, 0.95679015], [0.0010945900774184012, 0.9993065]), 'p_i': 0}
{'in_kwargs': {'lr': 0.01, 'conv_filters': 320, 'kernel_size': 52, 'pool_size': 26, 'dropout1': 0.0, 'dropout2': 0.0}, 'epochs': 50, 'batch_size': 1024, 'result': ([0.42861775281252684, 0.86419755], [0.049756551312861365, 0.9882108]), 'p_i': 1}
{'in_kwargs': {'lr': 0.01, 'conv_filters': 160, 'kernel_size': 26, 'pool_size': 6, 'dropout1': 0.2, 'dropout2': 0.2}, 'epochs': 20, 'batch_size': 64, 'result': ([0.25477144865151136, 0.9382716], [0.003278474259673361, 0.9993065]), 'p_i': 2}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 52, 'pool_size': 26, 'dropout1': 0.5, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 256, 'result': ([0.19115115766616078, 0.962963], [0.0011983690447234239, 0.9993065]), 'p_i': 3}
{'in_kwargs': {'lr': 0.01, 'conv_filters': 640, 'kernel_size': 13, 'pool_size': 6, 'dropout1': 0.5, 'dropout2': 0.2}, 'epochs': 75, 'batch_size': 64, 'result': ([0.6931982231728825, 0.5], [0.6931982066859484, 0.5]), 'p_i': 4}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 13, 'pool_size': 6, 'dropout1': 0.0, 'dropout2': 0.2}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.18005683944929557, 0.95679015], [0.001864915129754611, 0.9993065]), 'p_i': 5}
{'in_kwargs': {'lr': 0.01, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 6, 'dropout1': 0.0, 'dropout2': 0.5}, 'epochs': 20, 'batch_size': 1024, 'result': ([0.4076924201698951, 0.8148148], [0.3388560315937672, 0.8404993]), 'p_i': 6}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 320, 'kernel_size': 26, 'pool_size': 26, 'dropout1': 0.5, 'dropout2': 0.5}, 'epochs': 20, 'batch_size': 256, 'result': ([0.16367110555502967, 0.962963], [0.004326056474080477, 0.9993065]), 'p_i': 7}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 640, 'kernel_size': 52, 'pool_size': 6, 'dropout1': 0.5, 'dropout2': 0.5}, 'epochs': 50, 'batch_size': 1024, 'result': ([0.1743548931904773, 0.962963], [0.004019534504888457, 0.9993065]), 'p_i': 8}
{'in_kwargs': {'lr': 0.01, 'conv_filters': 320, 'kernel_size': 13, 'pool_size': 13, 'dropout1': 0.0, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.4654231918588123, 0.90123457], [0.005223345443307346, 0.9993065]), 'p_i': 9}
{'in_kwargs': {'lr': 0.01, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 26, 'dropout1': 0.2, 'dropout2': 0.5}, 'epochs': 75, 'batch_size': 64, 'result': ([0.6931752731770645, 0.5], [0.6931752602204205, 0.5]), 'p_i': 10}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 640, 'kernel_size': 26, 'pool_size': 26, 'dropout1': 0.2, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.15831930173081055, 0.9691358], [0.001779357855391762, 0.9993065]), 'p_i': 11}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 52, 'pool_size': 13, 'dropout1': 0.0, 'dropout2': 0.0}, 'epochs': 20, 'batch_size': 1024, 'result': ([0.127144695586813, 0.95679015], [0.011530656888099303, 0.99791956]), 'p_i': 12}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 13, 'pool_size': 26, 'dropout1': 0.0, 'dropout2': 0.2}, 'epochs': 75, 'batch_size': 1024, 'result': ([0.19591314382483524, 0.95679015], [0.001230098998136773, 0.9993065]), 'p_i': 13}
{'in_kwargs': {'lr': 0.0001, 'conv_filters': 160, 'kernel_size': 13, 'pool_size': 26, 'dropout1': 0.5, 'dropout2': 0.0}, 'epochs': 75, 'batch_size': 256, 'result': ([0.22895588875280753, 0.9444444], [0.001078589953193565, 0.9993065]), 'p_i': 14}
