index,probability_not_bacteriocin,probability_bacteriocin
0.0,0.0001,0.9851
1.0,0.0115,0.9431
3.0,0.04,0.2033
8.0,0.0081,0.0281
11.0,0.0,0.9981
18.0,0.0,0.9952
22.0,0.0001,0.4952
23.0,0.0004,0.924
33.0,0.0001,0.997
64.0,0.0,0.8762
68.0,0.0004,0.0615
91.0,0.001,0.3049
93.0,0.0,0.9574
98.0,0.0,0.9999
99.0,0.0049,0.7851
100.0,0.0007,0.9641
103.0,0.0,0.0014
104.0,0.0005,0.0023
112.0,0.0,0.0098
130.0,0.0022,0.735
132.0,0.0,1.0
154.0,0.0,0.0006
174.0,0.0,0.9934
179.0,0.0,0.9998
188.0,0.0,1.0
197.0,0.001,0.0437
204.0,0.0001,0.2966
208.0,0.0112,0.139
211.0,0.0,0.0061
235.0,0.001,0.003
247.0,0.0002,0.749
249.0,0.0003,0.0069
255.0,0.0007,0.0012
256.0,0.0,0.9465
260.0,0.0042,0.0268
272.0,0.0001,0.0134
275.0,0.0005,0.0042
278.0,0.0009,0.212
284.0,0.0127,0.1224
289.0,0.0,0.9999
295.0,0.0019,0.0033
300.0,0.0001,0.0017
301.0,0.0004,0.9941
307.0,0.0134,0.0673
324.0,0.0001,0.029
327.0,0.0004,0.0055
341.0,0.0026,0.9642
375.0,0.0,1.0
386.0,0.0001,0.0188
388.0,0.0,0.9994
389.0,0.0002,0.0457
390.0,0.0,0.5767
391.0,0.0016,0.0016
404.0,0.0089,0.0244
411.0,0.0,1.0
421.0,0.0,0.2049
423.0,0.0001,0.0017
427.0,0.0019,0.9218
453.0,0.0005,0.0067
466.0,0.0003,0.0039
473.0,0.0,0.6715
489.0,0.0057,0.5619
491.0,0.0002,0.0063
498.0,0.0007,0.021
510.0,0.0,0.9972
511.0,0.0,1.0
518.0,0.0038,0.0046
532.0,0.0,0.9632
535.0,0.0,0.9998
548.0,0.0003,0.2066
554.0,0.0,0.9993
558.0,0.0001,0.6762
559.0,0.0,0.9998
579.0,0.0023,0.0048
582.0,0.0549,0.2733
588.0,0.002,0.0061
592.0,0.0003,0.0061
597.0,0.0004,0.0134
600.0,0.0002,0.1049
601.0,0.0003,0.0025
603.0,0.0005,0.0726
605.0,0.0,1.0
606.0,0.0107,0.0446
626.0,0.0002,0.9173
627.0,0.0005,0.0291
632.0,0.003,0.0306
633.0,0.0,0.1956
642.0,0.0,0.0421
647.0,0.0,0.9857
660.0,0.0,0.9999
668.0,0.0,0.9976
672.0,0.0001,0.2309
682.0,0.0001,0.7385
686.0,0.0008,0.0107
687.0,0.0,0.9726
690.0,0.0,1.0
691.0,0.0,0.9961
709.0,0.0,0.0113
713.0,0.0,0.9619
721.0,0.0,0.9996
728.0,0.0,0.4613
729.0,0.0013,0.0039
730.0,0.0,0.9998
733.0,0.0,0.0592
734.0,0.0002,0.0387
738.0,0.0004,0.0008
755.0,0.0002,0.0214
